Name;;RA;;;Dec;;K;V_H;sig;sour;type;d1;d2;;;
;hh;mm;ss.ss;ddd;mm;dd.d;mag;km/s;km/s;;;arcmin;;;;
130044.23+2820146;13;00;44.23;+28;20;14.6;11.83;7997;100;1502;;0.34;0.22;0.977;0.299;0.640  
130044.59+2806026;13;00;44.59;+28;06;2.6;12.66;6582;22;1155;-2;0.32;0.16;0.949;0.292;0.500  
130044.78+3127342;13;00;44.78;+31;27;34.2;13.46;0;0;0;;0.23;0.12;1.508;0.561;0.540  
130045.67+1439495;13;00;45.67;+14;39;49.5;12.56;14207;53;5920;;0.33;0.24;1.077;0.425;0.720  
130046.00-0414439;13;00;46.00;-04;14;43.9;13.09;25182;85;1781;;0.33;0.16;1.081;0.516;0.480  
130046.28+0729253;13;00;46.28;+07;29;25.3;12.52;0;0;0;;0.32;0.15;1.059;0.369;0.480  
130047.03+0846543;13;00;47.03;+08;46;54.3;13.34;0;0;0;;0.22;0.19;1.205;0.579;0.860  
130047.37+2755196;13;00;47.37;+27;55;19.6;12.69;8655;70;1823;-2;0.31;0.19;0.891;0.275;0.620  
130047.63+1542169;13;00;47.63;+15;42;16.9;11.90;6471;34;2700;-1;0.40;0.14;0.962;0.300;0.340  
130048.11+0842443;13;00;48.11;+08;42;44.3;12.91;0;0;0;;0.28;0.21;1.219;0.548;0.760  
130048.13+0329592;13;00;48.13;+03;29;59.2;13.30;21326;25;5906;19;0.18;0.18;1.198;0.388;1.000  
130048.51+1915160;13;00;48.51;+19;15;16.0;13.27;0;0;0;;0.28;0.27;1.192;0.480;0.940  
130048.67+2805266;13;00;48.67;+28;05;26.6;11.01;6855;15;3606;1;0.43;0.28;0.985;0.253;0.660  
130048.75+2809296;13;00;48.75;+28;09;29.6;10.76;5879;10;934;3B2;0.86;0.74;0.939;0.223;0.860  
130049.25+0828193;13;00;49.25;+08;28;19.3;12.24;0;0;0;;0.50;0.41;1.063;0.391;0.820  
130049.84+1458139;13;00;49.84;+14;58;13.9;13.05;0;0;0;;0.30;0.17;1.154;0.465;0.580  
130049.96+2724206;13;00;49.96;+27;24;20.6;11.74;6569;32;5901;-1B_P;0.55;0.39;1.007;0.274;0.700  
130050.11+0509472;13;00;50.11;+05;09;47.2;13.48;31952;46;5918;;0.22;0.16;1.200;0.701;0.760  
130050.52-0659450;13;00;50.52;-06;59;45.0;12.96;0;0;0;;0.22;0.14;0.975;0.367;0.640  
130050.59+0043412;13;00;50.59;+00;43;41.2;13.27;24406;87;1777;;0.39;0.20;1.153;0.407;0.520  
130050.62-0412069;13;00;50.62;-04;12;6.9;13.07;24283;85;1781;;0.25;0.16;1.034;0.346;0.620  
130050.92+0726563;13;00;50.92;+07;26;56.3;12.76;0;0;0;;0.23;0.16;0.898;0.247;0.700  
130051.58+2802341;13;00;51.58;+28;02;34.1;10.80;8710;12;2368;-2X;0.56;0.46;0.988;0.282;0.820  
130052.07+2821581;13;00;52.07;+28;21;58.1;10.90;7665;23;2779;-3B;0.49;0.26;0.982;0.290;0.520  
130053.01+1752099;13;00;53.01;+17;52;9.9;13.42;0;0;0;;0.24;0.23;1.049;0.449;0.940  
130053.02+2209220;13;00;53.02;+22;09;22.0;13.44;0;0;0;;0.27;0.16;1.070;0.381;0.600  
130054.45+2800271;13;00;54.45;+28;00;27.1;10.58;4994;12;2368;-3;0.62;0.43;0.942;0.283;0.700  
130054.47-0120479;13;00;54.47;-01;20;47.9;12.90;6836;18;5906;19;0.47;0.32;0.722;0.077;0.680  
130054.98+0702469;13;00;54.98;+07;02;46.9;12.63;18452;28;2774;;0.24;0.18;1.026;0.296;0.760  
130055.01+1606229;13;00;55.01;+16;06;22.9;13.25;0;0;0;;0.47;0.32;1.148;0.354;0.680  
130055.41-0014079;13;00;55.41;-00;14;7.9;13.32;32314;23;5906;19;0.25;0.17;1.221;0.531;0.680  
130055.76+0235172;13;00;55.76;+02;35;17.2;13.10;23008;18;5906;19;0.24;0.10;1.175;0.381;0.400  
130055.78+0102312;13;00;55.78;+01;02;31.2;12.93;24484;87;1777;;0.24;0.18;1.047;0.423;0.740  
130056.09+2747268;13;00;56.09;+27;47;26.8;10.05;7985;5;661;4X2P;1.09;0.88;1.005;0.310;0.810  
130056.91+2156260;13;00;56.91;+21;56;26.0;13.06;0;0;0;;0.28;0.22;1.260;0.431;0.800  
130057.20+0700209;13;00;57.20;+07;00;20.9;12.88;0;0;0;;0.19;0.13;1.142;0.306;0.660  
130057.27+0531572;13;00;57.27;+05;31;57.2;12.39;14417;30;5918;;0.31;0.24;1.194;0.389;0.760  
130057.60+0857399;13;00;57.60;+08;57;39.9;13.23;0;0;0;;0.28;0.22;1.349;0.655;0.780  
130057.70+1941130;13;00;57.70;+19;41;13.0;11.97;9081;23;1524;;0.45;0.35;0.994;0.391;0.780  
130058.34+0655439;13;00;58.34;+06;55;43.9;12.96;0;0;0;;0.42;0.29;1.038;0.380;0.680  
130058.40+2739072;13;00;58.40;+27;39;7.2;13.37;5233;16;1141;1B;0.25;0.16;0.904;0.133;0.640  
130058.53+0050163;13;00;58.53;+00;50;16.3;13.31;24634;87;1777;;0.21;0.18;1.001;0.209;0.880  
130058.66-0001388;13;00;58.66;-00;01;38.8;9.73;1173;3;668;6B_s;1.22;1.07;0.861;0.241;0.880  
130059.11+2711112;13;00;59.11;+27;11;11.2;13.12;47169;58;-105;;0.36;0.32;1.108;0.471;0.900  
130059.21+2753592;13;00;59.21;+27;53;59.2;11.77;6842;25;1155;-2;0.47;0.18;1.010;0.284;0.380  
130059.76-0334548;13;00;59.76;-03;34;54.8;13.36;25512;85;1781;;0.27;0.18;1.049;0.476;0.660  
130059.93-0043368;13;00;59.93;-00;43;36.8;13.25;18590;26;5906;19;0.36;0.16;1.079;0.339;0.460  
130100.83+2701312;13;01;0.83;+27;01;31.2;13.13;23409;41;-105;;0.24;0.14;1.218;0.465;0.600  
130101.15+3323162;13;01;1.15;+33;23;16.2;13.22;43949;45;5920;;0.39;0.29;1.325;0.581;0.740  
130101.28-0656336;13;01;1.28;-06;56;33.6;13.30;26140;39;5100;;0.29;0.24;1.022;0.346;0.820  
130102.84-0306138;13;01;2.84;-03;06;13.8;13.19;33380;24;5906;19;0.19;0.15;1.152;0.463;0.760  
130104.06+0034243;13;01;4.06;+00;34;24.3;12.36;23559;87;1777;;0.42;0.16;1.169;0.361;0.380  
130105.01+0945249;13;01;5.01;+09;45;24.9;11.84;8184;27;-160;;0.38;0.25;1.020;0.318;0.660  
130105.27+3421357;13;01;5.27;+34;21;35.7;13.47;22010;46;5920;;0.20;0.13;0.993;0.418;0.620  
130105.66+0045303;13;01;5.66;+00;45;30.3;12.21;24577;87;1777;;0.32;0.27;0.981;0.241;0.860  
130106.94-0823236;13;01;6.94;-08;23;23.6;13.36;0;0;0;;0.20;0.20;1.155;0.326;1.000  
130107.00+0042113;13;01;7.00;+00;42;11.3;12.96;24380;87;1777;;0.30;0.17;0.974;0.342;0.560  
130107.51-0326528;13;01;7.51;-03;26;52.8;12.03;25010;29;5906;19;0.30;0.25;1.093;0.371;0.820  
130108.41-0732276;13;01;8.41;-07;32;27.6;13.31;0;0;0;;0.22;0.12;1.586;0.588;0.560  
130109.04+2821352;13;01;9.04;+28;21;35.2;12.64;0;0;0;;0.35;0.26;0.984;0.235;0.760  
130109.25+2749052;13;01;9.25;+27;49;5.2;12.57;5979;25;2315;-4;0.35;0.32;0.803;0.110;0.920  
130109.37+1929390;13;01;9.37;+19;29;39.0;12.16;19106;46;-160;;0.37;0.19;1.183;0.431;0.520  
130110.04-0811326;13;01;10.04;-08;11;32.6;13.28;0;0;0;;0.19;0.19;1.110;0.544;1.000  
130110.55+3302558;13;01;10.55;+33;02;55.8;12.12;15728;34;6801;;0.32;0.21;1.086;0.349;0.640  
130110.68+2748102;13;01;10.68;+27;48;10.2;12.41;6513;100;1502;-2;0.55;0.38;0.871;0.207;0.680  
130110.82+2347549;13;01;10.82;+23;47;54.9;13.22;0;0;0;;0.21;0.19;0.888;0.174;0.920  
130110.91-0533238;13;01;10.91;-05;33;23.8;11.48;1656;0;522;-2;0.61;0.33;0.894;0.232;0.540  
130111.92-0457318;13;01;11.92;-04;57;31.8;13.49;2997;85;1781;;0.19;0.14;0.568;0.005;0.700  
130112.24+2736162;13;01;12.24;+27;36;16.2;12.81;7513;14;1141;-2;0.40;0.09;0.934;0.213;0.240  
130112.36+1813259;13;01;12.36;+18;13;25.9;13.36;0;0;0;;0.18;0.16;1.219;0.458;0.880  
130112.80+3035508;13;01;12.80;+30;35;50.8;12.95;25663;38;6801;;0.35;0.23;1.086;0.237;0.660  
130112.91-0937346;13;01;12.91;-09;37;34.6;11.97;6462;112;1773;;0.42;0.22;1.157;0.357;0.520  
130113.62+2754512;13;01;13.62;+27;54;51.2;13.29;5842;20;1155;;0.24;0.17;0.901;0.174;0.700  
130114.98-0652116;13;01;14.98;-06;52;11.6;13.08;0;0;0;;0.22;0.21;1.140;0.547;0.960  
130115.33+1825299;13;01;15.33;+18;25;29.9;13.01;0;0;0;;0.31;0.26;1.200;0.565;0.840  
130115.49+1916249;13;01;15.49;+19;16;24.9;13.13;0;0;0;;0.27;0.22;1.175;0.574;0.820  
130115.53+1204159;13;01;15.53;+12;04;15.9;12.66;23530;52;5920;;0.43;0.41;0.967;0.259;0.940  
130116.47+2437472;13;01;16.47;+24;37;47.2;13.45;0;0;0;;0.18;0.16;1.432;0.792;0.900  
130116.66-0328238;13;01;16.66;-03;28;23.8;12.99;25997;26;5906;19;0.23;0.16;1.409;0.597;0.680  
130116.71-0812386;13;01;16.71;-08;12;38.6;13.24;0;0;0;;0.24;0.18;1.150;0.327;0.720  
130117.61+2748321;13;01;17.61;+27;48;32.1;10.95;7282;12;1141;-1__R;0.50;0.30;0.989;0.275;0.600  
130117.70-0559326;13;01;17.70;-05;59;32.6;13.03;0;0;0;;0.38;0.12;1.326;0.395;0.316  
130117.78+2114358;13;01;17.78;+21;14;35.8;13.18;0;0;0;;0.19;0.13;1.113;0.427;0.700  
130118.80-0341218;13;01;18.80;-03;41;21.8;13.18;24920;39;5100;;0.21;0.13;1.096;0.483;0.600  
130119.00-0637216;13;01;19.00;-06;37;21.6;13.34;27400;117;5100;;0.19;0.19;1.396;0.456;1.000  
130120.77+0611589;13;01;20.77;+06;11;58.9;13.32;0;0;0;;0.18;0.18;1.178;0.472;1.000  
130121.26-0158098;13;01;21.26;-01;58;9.8;12.97;23521;24;5906;19;0.34;0.22;1.117;0.563;0.640  
130121.75-0804086;13;01;21.75;-08;04;8.6;13.13;0;0;0;;0.35;0.30;0.856;0.116;0.860  
130122.33+0719069;13;01;22.33;+07;19;6.9;11.46;13565;57;2774;-2;0.55;0.38;0.959;0.255;0.680  
130122.39+0927199;13;01;22.39;+09;27;19.9;12.04;25147;40;-160;;0.68;0.56;0.971;0.261;0.820  
130122.74+1933119;13;01;22.74;+19;33;11.9;12.59;0;0;0;;0.36;0.22;1.198;0.395;0.600  
130122.80+2811456;13;01;22.80;+28;11;45.6;12.40;7627;34;1155;-4;0.30;0.28;0.876;0.158;0.920  
130122.87-0320368;13;01;22.87;-03;20;36.8;12.56;21826;25;5906;19;0.27;0.25;1.151;0.356;0.900  
130123.00+0106423;13;01;23.00;+01;06;42.3;12.94;23251;23;5906;19;0.26;0.20;1.126;0.519;0.780  
130124.19+0803031;13;01;24.19;+08;03;3.1;13.25;0;0;0;;0.22;0.17;1.045;0.252;0.760  
130124.33+3240509;13;01;24.33;+32;40;50.9;12.34;19012;42;6801;;0.32;0.28;1.129;0.460;0.880  
130124.50+2918306;13;01;24.50;+29;18;30.6;9.96;7070;8;2212;-2__P;0.91;0.64;0.987;0.264;0.700  
130124.83-0843164;13;01;24.83;-08;43;16.4;12.99;0;0;0;;0.26;0.20;0.998;0.442;0.780  
130124.99+1659359;13;01;24.99;+16;59;35.9;12.97;0;0;0;;0.22;0.12;1.108;0.371;0.540  
130125.07+2840376;13;01;25.07;+28;40;37.6;12.41;8761;10;2212;3__P;0.49;0.46;0.820;0.186;0.940  
130125.37-0718164;13;01;25.37;-07;18;16.4;12.84;0;0;0;;0.25;0.23;1.051;0.331;0.920  
130125.55-0409458;13;01;25.55;-04;09;45.8;11.88;3185;132;1773;;0.45;0.44;0.753;0.205;0.960  
130125.64-0921474;13;01;25.64;-09;21;47.4;10.90;6528;26;2230;3__P;0.79;0.21;1.178;0.357;0.260  
130126.13+2753095;13;01;26.13;+27;53;9.5;9.66;5482;3;661;3B_P;1.75;1.58;0.950;0.250;0.900  
130126.14+1814179;13;01;26.14;+18;14;17.9;13.35;0;0;0;;0.21;0.12;1.510;0.610;0.560  
130126.99+0605251;13;01;26.99;+06;05;25.1;13.23;33250;49;5918;;0.27;0.19;1.368;0.958;0.700  
130127.13+2759566;13;01;27.13;+27;59;56.6;12.72;7619;30;1155;;0.21;0.18;0.979;0.295;0.880  
130127.19+3130459;13;01;27.19;+31;30;45.9;13.23;0;0;0;;0.24;0.20;1.009;0.212;0.800  
130127.31+3445259;13;01;27.31;+34;45;25.9;13.29;11734;18;6801;;0.29;0.25;0.956;0.229;0.880  
130127.35-0532210;13;01;27.35;-05;32;21.0;13.16;0;0;0;;0.29;0.29;1.802;0.940;1.000  
130128.22-0432470;13;01;28.22;-04;32;47.0;8.85;3152;40;0;-5;0.94;0.79;0.929;0.250;0.840  
130129.16-0503160;13;01;29.16;-05;03;16.0;13.25;0;0;0;;0.23;0.21;1.226;0.566;0.900  
130129.25+0750301;13;01;29.25;+07;50;30.1;12.12;13672;32;-160;;0.51;0.32;1.032;0.291;0.620  
130129.49-0321450;13;01;29.49;-03;21;45.0;13.19;25847;26;5906;19;0.29;0.12;1.070;0.400;0.400  
130130.00+0649271;13;01;30.00;+06;49;27.1;13.43;0;0;0;;0.34;0.15;1.294;0.335;0.426  
130130.24+2101549;13;01;30.24;+21;01;54.9;13.31;0;0;0;;0.22;0.20;1.123;0.355;0.880  
130130.30-0834594;13;01;30.30;-08;34;59.4;13.20;0;0;0;;0.19;0.15;1.093;0.469;0.800  
130130.49+1815259;13;01;30.49;+18;15;25.9;13.31;0;0;0;;0.27;0.14;1.314;0.690;0.540  
130131.05+0313435;13;01;31.05;+03;13;43.5;13.46;23810;24;5906;19;0.23;0.10;1.079;0.491;0.420  
130131.76+2750507;13;01;31.76;+27;50;50.7;10.86;5487;12;2368;-3X;0.54;0.44;0.950;0.240;0.820  
130131.85+0946031;13;01;31.85;+09;46;3.1;12.76;0;0;0;;0.29;0.14;1.490;0.509;0.480  
130133.61+2907497;13;01;33.61;+29;07;49.7;10.33;7387;25;2315;-4;0.64;0.36;1.061;0.308;0.560  
130135.44+0648181;13;01;35.44;+06;48;18.1;13.32;0;0;0;;0.17;0.12;1.131;0.457;0.700  
130135.63-0650024;13;01;35.63;-06;50;2.4;13.38;27070;52;5100;;0.23;0.16;1.105;0.295;0.720  
130135.88+1333590;13;01;35.88;+13;33;59.0;13.00;18895;47;5920;;0.45;0.29;1.058;0.349;0.640  
130136.37-0331010;13;01;36.37;-03;31;1.0;12.63;25190;65;5100;;0.32;0.30;1.363;0.487;0.920  
130136.48+0201055;13;01;36.48;+02;01;5.5;13.46;52508;30;5906;19;0.24;0.24;1.582;0.391;1.000  
130136.70+1543190;13;01;36.70;+15;43;19.0;12.86;18608;54;5920;;0.24;0.18;0.917;0.292;0.760  
130139.80+0625581;13;01;39.80;+06;25;58.1;12.66;0;0;0;;0.34;0.17;1.182;0.437;0.500  
130139.97+1815379;13;01;39.97;+18;15;37.9;13.49;0;0;0;;0.20;0.15;1.190;0.510;0.760  
130140.24+2544577;13;01;40.24;+25;44;57.7;13.26;27132;16;-160;;0.22;0.20;1.067;0.364;0.900  
130141.44+0440505;13;01;41.44;+04;40;50.5;12.16;11460;31;2774;-5;0.24;0.22;0.953;0.181;0.880  
130141.59+1001001;13;01;41.59;+10;01;0.1;12.87;0;0;0;;0.33;0.16;1.049;0.311;0.480  
130142.16+1150421;13;01;42.16;+11;50;42.1;13.41;29979;53;5920;;0.29;0.20;1.442;0.714;0.700  
130142.37+0501525;13;01;42.37;+05;01;52.5;11.86;11560;47;2774;;0.49;0.38;1.102;0.352;0.780  
130142.39+0342515;13;01;42.39;+03;42;51.5;13.12;0;0;0;;0.26;0.18;1.146;0.382;0.700  
130143.17+0051355;13;01;43.17;+00;51;35.5;13.34;24560;87;1777;;0.16;0.14;1.144;0.391;0.900  
130143.26+1918070;13;01;43.26;+19;18;7.0;12.34;0;0;0;;0.32;0.22;1.127;0.435;0.680  
130143.38+2902407;13;01;43.38;+29;02;40.7;10.85;7095;2;661;2A3;0.71;0.21;1.045;0.324;0.300  
130143.39+0316065;13;01;43.39;+03;16;6.5;11.83;14391;25;2774;-2;0.42;0.30;0.994;0.329;0.700  
130143.76+1816400;13;01;43.76;+18;16;40.0;13.20;0;0;0;;0.25;0.21;1.052;0.447;0.820  
130143.85+2955367;13;01;43.85;+29;55;36.7;12.60;9161;0;2340;;0.25;0.19;1.024;0.412;0.760  
130143.99+2859587;13;01;43.99;+28;59;58.7;12.30;6386;31;1143;;0.47;0.16;0.967;0.244;0.340  
130146.16+2757277;13;01;46.16;+27;57;27.7;12.72;4694;14;1155;-2;0.39;0.27;0.811;0.245;0.700  
130146.20-0715564;13;01;46.20;-07;15;56.4;13.35;0;0;0;;0.24;0.14;0.997;0.386;0.600  
130147.00+2805417;13;01;47.00;+28;05;41.7;11.31;5807;63;1155;-2;0.49;0.15;0.959;0.282;0.300  
130147.10-0235130;13;01;47.10;-02;35;13.0;12.84;24153;27;5906;19;0.27;0.22;1.039;0.350;0.820  
130148.41+2736147;13;01;48.41;+27;36;14.7;12.88;8223;11;1141;;0.30;0.13;0.950;0.228;0.420  
130148.53+1957535;13;01;48.53;+19;57;53.5;13.07;0;0;0;;0.32;0.19;0.945;0.269;0.600  
130148.57-0234060;13;01;48.57;-02;34;6.0;13.23;24152;24;5906;19;0.25;0.15;1.215;0.477;0.600  
130148.58+2323205;13;01;48.58;+23;23;20.5;12.99;0;0;0;;0.28;0.20;1.001;0.392;0.700  
130148.66+0459315;13;01;48.66;+04;59;31.5;11.95;11825;34;2774;2A;0.49;0.20;1.045;0.359;0.400  
130149.24-0235460;13;01;49.24;-02;35;46.0;13.30;23930;52;5100;;0.18;0.18;1.353;0.666;1.000  
130149.56-0820104;13;01;49.56;-08;20;10.4;9.85;3821;3;668;3;1.38;0.28;1.053;0.292;0.200  
130149.59-0324210;13;01;49.59;-03;24;21.0;12.99;25805;28;5906;19;0.24;0.18;0.912;0.202;0.740  
130149.84-0505540;13;01;49.84;-05;05;54.0;13.37;0;0;0;;0.25;0.12;1.009;0.247;0.500  
130150.23+2753367;13;01;50.23;+27;53;36.7;11.73;7556;13;1141;-5;0.63;0.53;1.018;0.299;0.840  
130150.26+0420005;13;01;50.26;+04;20;0.5;11.50;11236;8;2212;3B;0.57;0.34;1.394;0.498;0.600  
130150.45+0949171;13;01;50.45;+09;49;17.1;12.54;0;0;0;;0.30;0.26;0.955;0.257;0.860  
130150.55+0900181;13;01;50.55;+09;00;18.1;12.98;0;0;0;;0.35;0.11;0.958;0.202;0.320  
130150.62-0430020;13;01;50.62;-04;30;2.0;11.98;9847;87;1777;;0.46;0.21;0.947;0.319;0.460  
130151.56-0221130;13;01;51.56;-02;21;13.0;13.46;34664;24;5906;19;0.29;0.16;1.054;0.409;0.560  
130152.57-0240120;13;01;52.57;-02;40;12.0;13.19;25089;24;5906;19;0.25;0.20;1.017;0.342;0.800  
130152.72+1448429;13;01;52.72;+14;48;42.9;12.63;0;0;0;;0.41;0.25;1.256;0.549;0.620  
130152.96+3359050;13;01;52.96;+33;59;5.0;13.05;27550;47;5920;;0.18;0.15;1.061;0.437;0.820  
130152.97+0622152;13;01;52.97;+06;22;15.2;13.08;0;0;0;;0.32;0.19;1.016;0.342;0.600  
130153.75+2737277;13;01;53.75;+27;37;27.7;10.03;7887;7;2353;-4A;0.67;0.61;0.975;0.253;0.900  
130154.04+3445310;13;01;54.04;+34;45;31.0;13.14;14638;50;5920;;0.27;0.14;1.023;0.473;0.540  
130154.94+0735562;13;01;54.94;+07;35;56.2;12.45;0;0;0;;0.40;0.17;1.043;0.357;0.420  
130155.29+2246156;13;01;55.29;+22;46;15.6;13.24;0;0;0;;0.28;0.18;0.932;0.303;0.640  
130155.37-0655338;13;01;55.37;-06;55;33.8;11.11;3581;0;2;6;1.04;0.19;1.202;0.330;0.180  
130155.55+3132030;13;01;55.55;+31;32;3.0;13.13;0;0;0;;0.20;0.17;1.065;0.306;0.880  
130155.61+3158240;13;01;55.61;+31;58;24.0;13.23;0;0;0;;0.25;0.20;1.063;0.423;0.780  
130155.79+2919219;13;01;55.79;+29;19;21.9;12.98;7075;26;1143;;0.21;0.16;1.001;0.339;0.760  
130156.17+0504289;13;01;56.17;+05;04;28.9;12.27;11499;33;2774;-2;0.26;0.24;0.935;0.328;0.920  
130156.26+2541029;13;01;56.26;+25;41;2.9;13.03;0;0;0;;0.35;0.28;1.232;0.477;0.800  
130156.38+0840522;13;01;56.38;+08;40;52.2;13.37;0;0;0;;0.21;0.16;0.910;0.439;0.760  
130156.89+1748089;13;01;56.89;+17;48;8.9;12.83;0;0;0;;0.38;0.14;1.235;0.516;0.360  
130157.34+3159560;13;01;57.34;+31;59;56.0;13.15;0;0;0;;0.28;0.16;1.308;0.611;0.560  
130157.56+2800209;13;01;57.56;+28;00;20.9;10.48;7735;20;1141;-4X;0.56;0.43;1.027;0.289;0.760  
130157.89+0540209;13;01;57.89;+05;40;20.9;13.49;64407;57;5918;;0.22;0.14;1.371;0.626;0.660  
130158.22+3001380;13;01;58.22;+30;01;38.0;13.05;25094;31;-105;;0.27;0.18;1.088;0.518;0.660  
130158.67+3224060;13;01;58.67;+32;24;6.0;13.46;28828;28;5920;;0.22;0.18;1.353;0.631;0.840  
130159.81+0616593;13;01;59.81;+06;16;59.3;11.72;13134;35;2774;-5;0.35;0.27;1.012;0.357;0.760  
130200.15+2746579;13;02;0.15;+27;46;57.9;12.44;7109;31;2700;-2;0.36;0.14;0.951;0.313;0.400  
130201.01+1226229;13;02;1.01;+12;26;22.9;12.64;25290;51;5920;;0.28;0.24;1.016;0.351;0.840  
130201.04+1108023;13;02;1.04;+11;08;2.3;13.19;13724;33;5920;;0.31;0.12;1.095;0.522;0.380  
130201.06+2739109;13;02;1.06;+27;39;10.9;12.90;7102;12;1141;;0.30;0.20;0.835;0.248;0.680  
130201.10-0307250;13;02;1.10;-03;07;25.0;12.68;26185;27;5906;19;0.49;0.38;1.031;0.434;0.780  
130201.52+0816153;13;02;1.52;+08;16;15.3;12.24;0;0;0;;0.31;0.28;0.976;0.275;0.920  
130202.04-0050360;13;02;2.04;-00;50;36.0;13.30;26116;87;1777;;0.21;0.15;1.221;0.475;0.720  
130203.58-0050120;13;02;3.58;-00;50;12.0;11.78;25447;53;5901;;0.58;0.45;1.203;0.421;0.780  
130204.10-0736118;13;02;4.10;-07;36;11.8;11.49;3356;0;-501;-2;0.59;0.40;0.869;0.240;0.680  
130204.21+2915129;13;02;4.21;+29;15;12.9;10.63;7307;21;1143;-2;0.66;0.20;0.982;0.247;0.300  
130204.38+2853399;13;02;4.38;+28;53;39.9;12.16;8064;23;1143;;0.34;0.27;0.931;0.271;0.800  
130205.48+0923183;13;02;5.48;+09;23;18.3;12.32;0;0;0;;0.36;0.14;1.262;0.536;0.400  
130206.42+2252317;13;02;6.42;+22;52;31.7;13.35;0;0;0;;0.23;0.17;1.015;0.219;0.760  
130206.52-0655008;13;02;6.52;-06;55;0.8;13.38;0;0;0;;0.32;0.28;0.949;0.298;0.860  
130206.65+3131520;13;02;6.65;+31;31;52.0;12.93;0;0;0;;0.32;0.12;1.281;0.553;0.380  
130207.40-0742388;13;02;7.40;-07;42;38.8;10.08;3473;30;3118;-2;0.66;0.54;0.903;0.242;0.820  
130207.57-0348180;13;02;7.57;-03;48;18.0;12.35;5058;87;1777;;0.60;0.16;0.881;0.272;0.260  
130207.91+2738539;13;02;7.91;+27;38;53.9;12.02;6915;33;5901;-1B_P;0.54;0.35;0.881;0.218;0.660  
130208.00+0601059;13;02;8.00;+06;01;5.9;11.90;14819;46;-160;;0.45;0.16;1.412;0.487;0.360  
130208.11-0305570;13;02;8.11;-03;05;57.0;13.32;26180;78;5100;;0.33;0.19;1.194;0.653;0.580  
130208.65+2823139;13;02;8.65;+28;23;13.9;11.33;7572;52;2779;-3;0.55;0.41;0.970;0.276;0.740  
130208.75+0524379;13;02;8.75;+05;24;37.9;12.40;14498;60;5918;;0.24;0.18;1.073;0.294;0.760  
130209.47+1222479;13;02;9.47;+12;22;47.9;13.30;25677;52;5920;;0.27;0.22;1.047;0.378;0.800  
130210.11+0326009;13;02;10.11;+03;26;0.9;12.75;21427;44;2774;;0.32;0.28;0.984;0.280;0.880  
130210.25+2811309;13;02;10.25;+28;11;30.9;13.33;5742;13;1155;;0.23;0.16;0.960;0.141;0.680  
130210.57+1312009;13;02;10.57;+13;12;0.9;13.39;25713;41;5920;;0.22;0.17;1.174;0.399;0.760  
130210.78+0306239;13;02;10.78;+03;06;23.9;11.47;14148;20;2774;-5;0.34;0.29;1.090;0.365;0.840  
130211.12-0857108;13;02;11.12;-08;57;10.8;13.24;0;0;0;;0.30;0.26;1.078;0.429;0.860  
130211.24+0413309;13;02;11.24;+04;13;30.9;12.12;11112;28;2774;;0.27;0.23;1.076;0.367;0.840  
130211.35+0630303;13;02;11.35;+06;30;30.3;12.74;0;0;0;;0.29;0.16;0.988;0.326;0.540  
130211.78-0227050;13;02;11.78;-02;27;5.0;13.35;23554;28;5906;19;0.22;0.11;1.434;0.669;0.520  
130211.88+0647333;13;02;11.88;+06;47;33.3;13.17;0;0;0;;0.31;0.20;1.204;0.369;0.640  
130212.25-0457320;13;02;12.25;-04;57;32.0;13.18;0;0;0;;0.18;0.15;1.170;0.437;0.820  
130212.44+0529509;13;02;12.44;+05;29;50.9;12.81;20750;53;5918;;0.41;0.18;1.246;0.539;0.440  
130212.52-0359510;13;02;12.52;-03;59;51.0;13.37;0;0;0;;0.21;0.09;1.024;0.265;0.460  
130212.60+2441079;13;02;12.60;+24;41;7.9;13.32;0;0;0;;0.21;0.15;1.062;0.378;0.720  
130212.69+0638153;13;02;12.69;+06;38;15.3;13.13;0;0;0;;0.20;0.16;1.131;0.520;0.820  
130212.82+2812529;13;02;12.82;+28;12;52.9;12.99;0;0;0;;0.39;0.33;0.819;0.204;0.860  
130212.93+1953347;13;02;12.93;+19;53;34.7;13.15;0;0;0;;0.27;0.16;1.078;0.353;0.580  
130213.48+1846247;13;02;13.48;+18;46;24.7;12.68;0;0;0;;0.36;0.14;1.101;0.358;0.380  
130213.64-0143060;13;02;13.64;-01;43;6.0;13.34;12287;87;1777;;0.21;0.11;1.407;0.592;0.514  
130214.34+2821099;13;02;14.34;+28;21;9.9;13.04;8631;15;1155;;0.29;0.22;0.837;0.164;0.760  
130214.85-0329470;13;02;14.85;-03;29;47.0;12.81;26013;25;5906;19;0.35;0.22;1.125;0.432;0.620  
130215.23+1016233;13;02;15.23;+10;16;23.3;12.80;0;0;0;;0.28;0.13;1.156;0.425;0.480  
130216.45-0243170;13;02;16.45;-02;43;17.0;13.39;31540;26;5906;19;0.22;0.14;1.091;0.479;0.640  
130216.96+2400389;13;02;16.96;+24;00;38.9;12.44;22279;26;1525;;0.35;0.28;1.006;0.365;0.800  
130217.46-0429110;13;02;17.46;-04;29;11.0;13.38;46987;87;1777;;0.17;0.17;1.336;0.602;1.000  
130217.90+2251432;13;02;17.90;+22;51;43.2;12.91;0;0;0;;0.41;0.33;1.106;0.440;0.800  
